,Node,Target,Weight,Latitude,Longitude
0,0,1,0.04958688,-33.4,18.48
1,1,6,0.0509826,-31.48,19.76
2,2,1,0.049252037,-32.83,17.86
3,3,1,0.048427157,-34.42,18.44
4,4,1,0.049392536,-33.55,18.4
5,5,1,0.048828293,-34.3,18.32
6,6,6,0.050338913,-32.96,19.43
7,7,1,0.049563143,-34.43,19.22
8,8,1,0.047929,-33.97,18.92
9,9,1,0.047759768,-34.15,18.48
10,10,6,0.049997058,-33.5,21.27
11,11,1,0.04812032,-33.88,18.59
12,12,1,0.04948392,-33.5,18.97
13,13,1,0.050374214,-33.01,18.98
14,14,1,0.049158026,-33.74,18.37
15,15,1,0.049879782,-33.79,19.9
16,16,1,0.04890436,-34.03,18.26
17,17,1,0.04973522,-34.8002,20.0569
18,18,1,0.050062716,-34.15,19.9
19,19,1,0.04945397,-33.65,19.01
20,20,1,0.050210163,-33.66,19.42
